供应商,品类,区域,价格指数,质量缺陷PPM,准时交付率,平均交期_天,响应时长_小时,柔性能力评分,财务稳健度,ESG评分,合作年限,纠纷次数,创新能力评分
S049,原材料,华北,78.47,615,0.9289,16.8,21.9,72.8,0.5772,47.9,1.2,0,47.8
S050,物流,华北,69.38,691,0.8284,19.8,26.0,64.1,0.429,38.0,0.7,4,28.1
S051,零部件,华北,64.77,567,0.9174,13.8,19.2,66.7,0.3612,31.2,0.8,3,24.1
S052,零部件,华南,69.43,378,0.999,9.4,12.4,88.8,0.8334,76.2,5.6,1,64.9
S053,零部件,西南,86.21,900,0.7584,21.6,22.0,49.6,0.4479,32.1,1.6,3,35.0
S054,零部件,华东,54.8,539,0.999,13.9,17.0,65.5,0.2171,25.4,0.0,0,13.9
S055,零部件,华北,57.28,754,0.8019,18.7,27.3,61.6,0.7639,59.4,3.3,4,60.8
S056,原材料,华东,76.51,761,0.8168,17.6,24.6,67.3,0.7012,60.3,4.5,2,49.9
S057,原材料,华南,78.75,604,0.9201,16.1,19.9,66.3,0.4928,41.8,2.1,2,38.2
S058,物流,海外,70.09,1057,0.8144,23.7,30.0,37.9,0.3608,34.9,1.9,2,21.4
S059,零部件,海外,75.17,523,0.906,17.1,18.8,67.5,0.5821,58.8,2.4,1,33.5
S060,零部件,华东,65.14,254,0.999,8.6,11.9,94.5,0.5857,57.9,3.6,0,57.1
S061,服务外包,华北,77.37,902,0.7256,23.8,23.1,63.6,0.8116,70.9,2.8,2,67.0
S062,零部件,东北,61.43,469,0.8753,16.2,16.6,59.2,0.3734,20.0,2.4,1,12.0
S063,原材料,海外,65.52,347,0.9924,13.2,14.4,97.6,0.8238,72.7,3.3,1,70.1
S064,原材料,华东,58.88,809,0.8621,19.7,23.4,65.8,0.7055,59.8,3.8,3,51.6
S065,零部件,西南,68.65,1710,0.5,34.9,44.6,20.0,0.6657,58.2,1.6,6,43.0
S066,原材料,东北,101.43,875,0.7733,18.0,30.0,43.8,0.1755,28.5,0.3,2,19.5
S067,服务外包,华南,78.13,401,0.9088,13.8,18.7,83.0,0.4976,44.0,3.2,0,30.2
S068,服务外包,东北,73.05,565,0.8541,13.7,20.6,63.8,0.5527,45.7,0.4,4,50.4
S069,物流,华北,72.72,844,0.8352,19.2,21.8,54.5,0.2797,32.6,0.2,1,34.8
S070,零部件,华东,83.15,786,0.7773,18.2,20.7,68.5,0.6596,57.3,0.7,3,45.5
S071,物流,华东,74.68,624,0.8298,19.8,18.8,61.2,0.4236,46.6,4.0,0,39.8
S072,原材料,华北,57.73,50,0.999,6.1,7.4,100.0,0.7076,70.2,3.8,0,71.4
S073,原材料,海外,62.78,632,0.8211,17.0,24.0,58.6,0.3442,31.8,0.0,2,25.9
S074,零部件,华北,63.56,942,0.7397,17.6,25.1,73.5,0.99,100.0,6.1,2,84.3
S075,物流,华南,64.2,929,0.6882,21.0,27.5,60.4,0.5863,56.1,4.6,6,41.0
S076,零部件,华北,76.64,616,0.7906,17.2,20.9,77.7,0.7924,53.6,5.4,4,52.3
S077,原材料,华东,53.22,261,0.999,9.5,10.9,100.0,0.99,100.0,11.1,0,100.0
S078,原材料,华东,63.57,705,0.8035,18.2,20.1,62.0,0.5793,47.9,1.4,1,50.1
S079,原材料,华东,72.06,676,0.9108,15.8,25.7,76.1,0.3329,38.4,1.1,1,25.5
S080,原材料,华南,67.68,916,0.7549,22.9,31.1,61.0,0.9486,97.2,8.6,4,84.4
S081,原材料,华南,64.3,1035,0.6612,26.7,26.9,47.7,0.6773,55.6,1.8,4,46.2
S082,零部件,华东,74.21,1086,0.6199,24.4,29.2,32.1,0.5952,37.8,1.5,4,44.7
S083,零部件,西南,53.88,466,0.958,14.8,15.9,83.0,0.6798,77.0,2.9,0,57.4
S084,物流,华北,54.29,318,0.999,13.8,12.8,84.1,0.5679,60.0,1.2,0,41.3
S085,物流,华东,70.55,1183,0.6647,27.2,35.1,39.7,0.7117,62.9,4.9,1,47.6
S086,零部件,华东,90.64,913,0.7172,19.8,27.9,48.4,0.4799,44.9,2.8,1,34.1
S087,零部件,华东,69.47,576,0.8927,19.0,24.4,61.5,0.5558,45.0,2.5,2,36.9
S088,物流,华东,72.46,50,0.999,7.0,13.4,92.4,0.4221,43.6,2.9,0,44.9
S089,服务外包,海外,65.17,736,0.7198,19.6,26.8,61.4,0.99,80.8,7.5,1,83.5
S090,零部件,东北,73.12,666,0.8474,20.1,22.6,70.7,0.927,88.7,7.7,2,73.3
S091,物流,华北,62.46,367,0.999,16.1,16.1,86.9,0.8049,69.6,4.7,2,61.9
S092,服务外包,华东,66.91,923,0.8341,18.7,26.1,52.2,0.7263,71.1,4.4,3,64.4
S093,原材料,华东,65.56,892,0.7682,22.1,19.6,50.6,0.5443,48.0,1.0,2,49.7
S094,服务外包,华东,59.15,646,0.8037,21.5,20.8,63.9,0.6491,69.9,5.0,2,60.1
S095,原材料,华东,78.73,806,0.8817,19.0,29.6,52.6,0.6209,60.2,2.2,3,48.0
S096,零部件,华南,66.04,817,0.8414,19.1,20.6,56.1,0.1381,20.0,0.0,2,10.0
S097,物流,海外,71.96,1042,0.674,27.8,27.9,41.0,0.5967,56.1,2.7,2,46.8
S098,物流,华东,79.07,326,0.9524,10.9,17.3,80.2,0.2926,25.8,0.0,0,22.2
S099,原材料,华南,67.83,820,0.8033,19.1,22.1,75.5,0.9301,82.1,6.4,2,75.4
S100,零部件,华南,66.56,807,0.8597,19.9,22.5,59.5,0.6548,66.9,6.7,1,52.0
